lat,lon,time,spatial_ref,SPEEDLML
33.0,-115.0,2015-08-01 05:00:00,0,6.257291
33.0,-115.0,2015-08-01 06:00:00,0,4.6836925
33.0,-115.0,2015-08-01 07:00:00,0,4.578476
33.0,-115.0,2015-08-01 08:00:00,0,4.5421405
33.0,-115.0,2015-08-01 09:00:00,0,3.633412
33.0,-115.0,2015-08-01 10:00:00,0,2.6338468
33.0,-115.0,2015-08-01 11:00:00,0,2.2594242
33.0,-115.0,2015-08-01 12:00:00,0,2.4232507
33.0,-115.0,2015-08-01 13:00:00,0,2.7857313
33.0,-115.0,2015-08-01 14:00:00,0,3.1143956
33.0,-115.0,2015-08-01 15:00:00,0,3.4013507
33.0,-115.0,2015-08-01 16:00:00,0,3.4601912
33.0,-115.0,2015-08-01 17:00:00,0,3.1355243
33.0,-115.0,2015-08-01 18:00:00,0,2.5770555
33.0,-115.0,2015-08-01 19:00:00,0,2.1393242
33.0,-115.0,2015-08-01 20:00:00,0,1.637962
33.0,-115.0,2015-08-01 21:00:00,0,1.4349545
33.0,-115.0,2015-08-01 22:00:00,0,1.7367457
33.0,-115.0,2015-08-01 23:00:00,0,2.035258
33.5,-124.375,2015-08-01 00:00:00,0,0.0
33.5,-124.375,2015-08-01 01:00:00,0,0.0
33.5,-124.375,2015-08-01 02:00:00,0,0.0
33.5,-124.375,2015-08-01 03:00:00,0,0.0
33.5,-124.375,2015-08-01 04:00:00,0,0.0
33.5,-124.375,2015-08-01 05:00:00,0,0.0
33.5,-124.375,2015-08-01 06:00:00,0,0.0
33.5,-124.375,2015-08-01 07:00:00,0,0.0
33.5,-124.375,2015-08-01 08:00:00,0,0.0
33.5,-124.375,2015-08-01 09:00:00,0,0.0
33.5,-124.375,2015-08-01 10:00:00,0,0.0
33.5,-124.375,2015-08-01 11:00:00,0,0.0
33.5,-124.375,2015-08-01 12:00:00,0,0.0
33.5,-124.375,2015-08-01 13:00:00,0,0.0
33.5,-124.375,2015-08-01 14:00:00,0,0.0
33.5,-124.375,2015-08-01 15:00:00,0,0.0
33.5,-124.375,2015-08-01 16:00:00,0,0.0
33.5,-124.375,2015-08-01 17:00:00,0,0.0
33.5,-124.375,2015-08-01 18:00:00,0,0.0
33.5,-124.375,2015-08-01 19:00:00,0,0.0
33.5,-124.375,2015-08-01 20:00:00,0,0.0
33.5,-124.375,2015-08-01 21:00:00,0,0.0
33.5,-124.375,2015-08-01 22:00:00,0,0.0
33.5,-124.375,2015-08-01 23:00:00,0,0.0
33.5,-123.75,2015-08-01 00:00:00,0,0.0
33.5,-123.75,2015-08-01 01:00:00,0,0.0
33.5,-123.75,2015-08-01 02:00:00,0,0.0
33.5,-123.75,2015-08-01 03:00:00,0,0.0
33.5,-123.75,2015-08-01 04:00:00,0,0.0
33.5,-123.75,2015-08-01 05:00:00,0,0.0
33.5,-123.75,2015-08-01 06:00:00,0,0.0
33.5,-123.75,2015-08-01 07:00:00,0,0.0
33.5,-123.75,2015-08-01 08:00:00,0,0.0
