lat,lon,time,spatial_ref,SPEEDLML
33.0,-115.625,2015-08-14 09:00:00,0,5.949505
33.0,-115.625,2015-08-14 10:00:00,0,5.9459925
33.0,-115.625,2015-08-14 11:00:00,0,5.868799
33.0,-115.625,2015-08-14 12:00:00,0,6.0432043
33.0,-115.625,2015-08-14 13:00:00,0,6.394705
33.0,-115.625,2015-08-14 14:00:00,0,6.388551
33.0,-115.625,2015-08-14 15:00:00,0,4.969482
33.0,-115.625,2015-08-14 16:00:00,0,3.8940175
33.0,-115.625,2015-08-14 17:00:00,0,2.345006
33.0,-115.625,2015-08-14 18:00:00,0,1.6620234
33.0,-115.625,2015-08-14 19:00:00,0,1.7298138
33.0,-115.625,2015-08-14 20:00:00,0,2.0134273
33.0,-115.625,2015-08-14 21:00:00,0,2.2288861
33.0,-115.625,2015-08-14 22:00:00,0,2.2131016
33.0,-115.625,2015-08-14 23:00:00,0,2.0640783
33.0,-115.0,2015-08-14 00:00:00,0,5.9572334
33.0,-115.0,2015-08-14 01:00:00,0,6.276454
33.0,-115.0,2015-08-14 02:00:00,0,6.758754
33.0,-115.0,2015-08-14 03:00:00,0,7.6525016
33.0,-115.0,2015-08-14 04:00:00,0,7.41555
33.0,-115.0,2015-08-14 05:00:00,0,6.1038084
33.0,-115.0,2015-08-14 06:00:00,0,4.6682806
33.0,-115.0,2015-08-14 07:00:00,0,3.7729437
33.0,-115.0,2015-08-14 08:00:00,0,3.7040112
33.0,-115.0,2015-08-14 09:00:00,0,4.1349716
33.0,-115.0,2015-08-14 10:00:00,0,4.20999
33.0,-115.0,2015-08-14 11:00:00,0,3.3078122
33.0,-115.0,2015-08-14 12:00:00,0,1.9961946
33.0,-115.0,2015-08-14 13:00:00,0,1.5162317
33.0,-115.0,2015-08-14 14:00:00,0,1.1758405
33.0,-115.0,2015-08-14 15:00:00,0,1.0501025
33.0,-115.0,2015-08-14 16:00:00,0,1.2027743
33.0,-115.0,2015-08-14 17:00:00,0,1.8682672
33.0,-115.0,2015-08-14 18:00:00,0,2.5138438
33.0,-115.0,2015-08-14 19:00:00,0,2.9442997
33.0,-115.0,2015-08-14 20:00:00,0,3.417915
33.0,-115.0,2015-08-14 21:00:00,0,3.9561324
33.0,-115.0,2015-08-14 22:00:00,0,4.2938337
33.0,-115.0,2015-08-14 23:00:00,0,4.5536814
33.5,-124.375,2015-08-14 00:00:00,0,0.0
33.5,-124.375,2015-08-14 01:00:00,0,0.0
33.5,-124.375,2015-08-14 02:00:00,0,0.0
33.5,-124.375,2015-08-14 03:00:00,0,0.0
33.5,-124.375,2015-08-14 04:00:00,0,0.0
33.5,-124.375,2015-08-14 05:00:00,0,0.0
33.5,-124.375,2015-08-14 06:00:00,0,0.0
33.5,-124.375,2015-08-14 07:00:00,0,0.0
33.5,-124.375,2015-08-14 08:00:00,0,0.0
33.5,-124.375,2015-08-14 09:00:00,0,0.0
33.5,-124.375,2015-08-14 10:00:00,0,0.0
33.5,-124.375,2015-08-14 11:00:00,0,0.0
33.5,-124.375,2015-08-14 12:00:00,0,0.0
33.5,-124.375,2015-08-14 13:00:00,0,0.0
33.5,-124.375,2015-08-14 14:00:00,0,0.0
33.5,-124.375,2015-08-14 15:00:00,0,0.0
33.5,-124.375,2015-08-14 16:00:00,0,0.0
33.5,-124.375,2015-08-14 17:00:00,0,0.0
33.5,-124.375,2015-08-14 18:00:00,0,0.0
33.5,-124.375,2015-08-14 19:00:00,0,0.0
33.5,-124.375,2015-08-14 20:00:00,0,0.0
33.5,-124.375,2015-08-14 21:00:00,0,0.0
