lat,lon,time,spatial_ref,precipitation
32.649998,-117.549995,2017-02-01 00:00:00,0,0.0
32.649998,-117.45,2017-02-01 00:00:00,0,0.0
32.649998,-117.35,2017-02-01 00:00:00,0,0.0
32.649998,-117.25,2017-02-01 00:00:00,0,0.0
32.649998,-117.149994,2017-02-01 00:00:00,0,0.16800001
32.649998,-117.049995,2017-02-01 00:00:00,0,0.164
32.649998,-116.95,2017-02-01 00:00:00,0,0.155
32.649998,-116.85,2017-02-01 00:00:00,0,0.14500001
32.649998,-116.75,2017-02-01 00:00:00,0,0.142
32.649998,-116.649994,2017-02-01 00:00:00,0,0.14
32.649998,-116.549995,2017-02-01 00:00:00,0,0.135
32.649998,-116.45,2017-02-01 00:00:00,0,0.127
32.649998,-116.35,2017-02-01 00:00:00,0,0.11800001
32.649998,-116.25,2017-02-01 00:00:00,0,0.11100001
32.649998,-116.149994,2017-02-01 00:00:00,0,0.098000005
32.649998,-116.049995,2017-02-01 00:00:00,0,0.087000005
32.649998,-115.95,2017-02-01 00:00:00,0,0.075
32.649998,-115.85,2017-02-01 00:00:00,0,0.069000006
32.649998,-115.75,2017-02-01 00:00:00,0,0.063
32.649998,-115.649994,2017-02-01 00:00:00,0,0.0
32.649998,-115.549995,2017-02-01 00:00:00,0,0.0
32.649998,-115.45,2017-02-01 00:00:00,0,0.0
32.649998,-115.35,2017-02-01 00:00:00,0,0.0
32.649998,-115.25,2017-02-01 00:00:00,0,0.0
32.649998,-115.149994,2017-02-01 00:00:00,0,0.0
32.649998,-115.049995,2017-02-01 00:00:00,0,0.0
32.649998,-114.95,2017-02-01 00:00:00,0,0.0
32.649998,-114.85,2017-02-01 00:00:00,0,0.0
32.649998,-114.75,2017-02-01 00:00:00,0,0.0
32.649998,-114.649994,2017-02-01 00:00:00,0,0.0
32.649998,-114.549995,2017-02-01 00:00:00,0,0.0
32.649998,-114.45,2017-02-01 00:00:00,0,0.0
32.649998,-114.35,2017-02-01 00:00:00,0,0.0
32.649998,-114.25,2017-02-01 00:00:00,0,0.0
32.75,-124.35,2017-02-01 00:00:00,0,0.0
