lat,lon,time,spatial_ref,precipitationCal
32.750004,-115.85,2016-05-29 00:00:00,0,0.0
32.750004,-115.74999,2016-05-29 00:00:00,0,0.0
32.750004,-115.649994,2016-05-29 00:00:00,0,0.0
32.750004,-115.549995,2016-05-29 00:00:00,0,0.0
32.750004,-115.45,2016-05-29 00:00:00,0,0.0
32.750004,-115.35,2016-05-29 00:00:00,0,0.0
32.750004,-115.24999,2016-05-29 00:00:00,0,0.0
32.750004,-115.149994,2016-05-29 00:00:00,0,0.0
32.750004,-115.049995,2016-05-29 00:00:00,0,0.0
32.750004,-114.95,2016-05-29 00:00:00,0,0.0
32.750004,-114.85,2016-05-29 00:00:00,0,0.0
32.750004,-114.74999,2016-05-29 00:00:00,0,0.0
32.750004,-114.649994,2016-05-29 00:00:00,0,0.0
32.750004,-114.549995,2016-05-29 00:00:00,0,0.0
32.750004,-114.45,2016-05-29 00:00:00,0,0.0
32.750004,-114.35,2016-05-29 00:00:00,0,0.0
32.750004,-114.24999,2016-05-29 00:00:00,0,0.0
32.850002,-124.34999,2016-05-29 00:00:00,0,0.0
32.850002,-124.25,2016-05-29 00:00:00,0,0.0
32.850002,-124.149994,2016-05-29 00:00:00,0,0.0
32.850002,-124.049995,2016-05-29 00:00:00,0,0.0
32.850002,-123.95,2016-05-29 00:00:00,0,0.0
32.850002,-123.84999,2016-05-29 00:00:00,0,0.0
32.850002,-123.75,2016-05-29 00:00:00,0,0.0
32.850002,-123.649994,2016-05-29 00:00:00,0,0.0
32.850002,-123.549995,2016-05-29 00:00:00,0,0.0
32.850002,-123.45,2016-05-29 00:00:00,0,0.0
32.850002,-123.34999,2016-05-29 00:00:00,0,0.0
32.850002,-123.25,2016-05-29 00:00:00,0,0.0
32.850002,-123.149994,2016-05-29 00:00:00,0,0.0
32.850002,-123.049995,2016-05-29 00:00:00,0,0.0
32.850002,-122.95,2016-05-29 00:00:00,0,0.0
32.850002,-122.84999,2016-05-29 00:00:00,0,0.0
32.850002,-122.75,2016-05-29 00:00:00,0,0.0
32.850002,-122.649994,2016-05-29 00:00:00,0,0.0
32.850002,-122.549995,2016-05-29 00:00:00,0,0.0
32.850002,-122.45,2016-05-29 00:00:00,0,0.0
32.850002,-122.34999,2016-05-29 00:00:00,0,0.0
32.850002,-122.25,2016-05-29 00:00:00,0,0.0
32.850002,-122.149994,2016-05-29 00:00:00,0,0.0
32.850002,-122.049995,2016-05-29 00:00:00,0,0.0
32.850002,-121.95,2016-05-29 00:00:00,0,0.0
32.850002,-121.84999,2016-05-29 00:00:00,0,0.0
32.850002,-121.75,2016-05-29 00:00:00,0,0.0
32.850002,-121.649994,2016-05-29 00:00:00,0,0.0
32.850002,-121.549995,2016-05-29 00:00:00,0,0.0
32.850002,-121.45,2016-05-29 00:00:00,0,0.0
32.850002,-121.34999,2016-05-29 00:00:00,0,0.0
32.850002,-121.25,2016-05-29 00:00:00,0,0.0
32.850002,-121.149994,2016-05-29 00:00:00,0,0.0
32.850002,-121.049995,2016-05-29 00:00:00,0,0.0
32.850002,-120.95,2016-05-29 00:00:00,0,0.0
32.850002,-120.84999,2016-05-29 00:00:00,0,0.0
32.850002,-120.75,2016-05-29 00:00:00,0,0.0
32.850002,-120.649994,2016-05-29 00:00:00,0,0.0
32.850002,-120.549995,2016-05-29 00:00:00,0,0.0
32.850002,-120.45,2016-05-29 00:00:00,0,0.0
32.850002,-120.34999,2016-05-29 00:00:00,0,0.0
32.850002,-120.25,2016-05-29 00:00:00,0,0.0
