lat,lon,spatial_ref,Qair_f_inst
34.375,-118.625,0,0.010302727
34.375,-118.375,0,0.010258977
34.375,-118.125,0,0.009512727
34.375,-117.875,0,0.008893978
34.375,-117.625,0,0.008020227
34.375,-117.375,0,0.0072664768
34.375,-117.125,0,0.0068739764
34.375,-116.875,0,0.0062089767
34.375,-116.625,0,0.0058252267
34.375,-116.375,0,0.0059552263
34.375,-116.125,0,0.006241477
34.375,-115.875,0,0.0068314765
34.375,-115.625,0,0.006855227
34.375,-115.375,0,0.0066077267
34.375,-115.125,0,0.006401477
34.375,-114.875,0,0.006102727
34.625,-124.125,0,0.0
34.625,-123.875,0,0.0
34.625,-123.625,0,0.0
34.625,-123.375,0,0.0
34.625,-123.125,0,0.0
34.625,-122.875,0,0.0
34.625,-122.625,0,0.0
34.625,-122.375,0,0.0
34.625,-122.125,0,0.0
34.625,-121.875,0,0.0
34.625,-121.625,0,0.0
34.625,-121.375,0,0.0
34.625,-121.125,0,0.0
34.625,-120.875,0,0.0
34.625,-120.625,0,0.0
34.625,-120.375,0,0.010873976
34.625,-120.125,0,0.010903976
34.625,-119.875,0,0.010832728
34.625,-119.625,0,0.010797727
34.625,-119.375,0,0.010425228
34.625,-119.125,0,0.009082727
34.625,-118.875,0,0.008712727
34.625,-118.625,0,0.008393978
34.625,-118.375,0,0.008798977
34.625,-118.125,0,0.008066477
34.625,-117.875,0,0.0073027266
34.625,-117.625,0,0.006675227
34.625,-117.375,0,0.006445227
34.625,-117.125,0,0.0064077266
34.625,-116.875,0,0.006356477
34.625,-116.625,0,0.006362727
34.625,-116.375,0,0.0063214772
34.625,-116.125,0,0.0063439766
34.625,-115.875,0,0.006305227
34.625,-115.625,0,0.006396477
34.625,-115.375,0,0.0062464764
34.625,-115.125,0,0.0064777266
34.625,-114.875,0,0.006055227
34.875,-124.125,0,0.0
34.875,-123.875,0,0.0
34.875,-123.625,0,0.0
34.875,-123.375,0,0.0
34.875,-123.125,0,0.0
34.875,-122.875,0,0.0
34.875,-122.625,0,0.0
